dir,hir,lvr,pbcr,self,single,condo,deny,uria
0.267999992,0.242000008,0.894736842,no,no,no,1,no,3.200000048
0.268999996,0.226000004,0.798780488,no,no,no,1,no,3.900000095
0.409000015,0.315,0.887850467,no,no,yes,0,no,3.200000048
0.307999992,0.28,0.581395349,no,no,no,0,no,3.200000048
0.311000004,0.311000004,0.666666667,no,no,yes,1,no,3.200000048
0.36,0.3,0.862745098,no,no,no,1,no,1.799999952
0.39,0.31,0.813333333,no,no,no,0,no,3.200000048
0.32,0.32,0.732307692,no,no,no,0,no,3.200000048
0.18,0.16,0.314814815,no,no,no,0,no,5.300000191
0.34,0.27,0.379807692,no,no,no,0,no,1.799999952
0.327999992,0.327999992,0.868965517,no,no,yes,1,no,3.099999905
0.383800011,0.289400005,0.987951807,no,no,yes,1,yes,3.200000048
0.337999992,0.252999992,0.9,no,no,no,1,no,3.200000048
0.281000004,0.271000004,0.4675,no,no,no,0,no,3.200000048
0.392299995,0.333800011,0.902255639,yes,no,yes,1,yes,4.300000191
0.362999992,0.208999996,0.471380471,no,no,no,0,no,3.200000048
0.245799999,0.230799999,0.311111111,no,no,no,0,no,2
0.382099991,0.330900002,0.797297297,no,no,no,0,no,3.200000048
0.32,0.28,0.65,no,no,no,0,no,2
0.286000004,0.255,0.65,no,no,no,1,no,2
0.266000004,0.21,0.555555556,no,no,yes,0,no,1.799999952
0.315,0.287000008,0.901315789,no,no,no,0,no,3.200000048
0.304699993,0.238999996,0.47826087,no,no,yes,0,no,3.599999905
0.337999992,0.292000008,0.902857143,no,no,yes,0,no,3.200000048
0.365999985,0.272999992,0.651785714,no,no,yes,1,no,3.200000048
0.370999985,0.245,0.593220339,no,yes,no,1,no,3.200000048
0.380999985,0.318999996,0.315581854,no,no,no,0,no,3.599999905
0.35,0.31,0.898550725,no,no,yes,1,no,3.900000095
0.34,0.29,0.952380952,no,no,no,0,no,5.300000191
0.265200005,0.2125,0.891089109,no,no,no,0,no,3.599999905
0.35,0.26,0.9,no,no,yes,0,no,3.200000048
0.39,0.26,0.902255639,no,no,yes,1,yes,3.200000048
0.39,0.24,0.779661017,no,yes,yes,0,yes,4.300000191
0.3,0.17,0.402173913,no,no,no,0,no,3.099999905
0.29,0.29,0.709090909,no,no,no,0,no,1.799999952
0.35,0.34,0.80148423,no,no,no,1,no,3.599999905
0.39,0.27,0.833333333,no,no,yes,0,no,2
0.36,0.28,0.903703704,no,no,yes,0,no,3.900000095
0.26,0.26,0.736111111,no,no,yes,1,no,1.799999952
0.36,0.23,0.7421875,no,no,yes,1,no,3.200000048
0.27,0.22,0.774011299,no,no,no,0,no,3.900000095
0.357000008,0.2,0.8,no,no,yes,1,no,3.099999905
0.3,0.197000008,0.883495146,no,no,no,1,no,3.099999905
0.39,0.29,0.905660377,no,no,no,1,no,2
0.31,0.3,0.897959184,no,no,no,0,no,1.799999952
0.43,0.21,0.5625,no,yes,no,1,yes,3.200000048
0.4,0.26,0.531468531,yes,no,no,0,yes,3.200000048
0.34,0.23,0.883928571,no,no,yes,0,no,3.099999905
0.405999985,0.405999985,0.898305085,no,yes,no,0,yes,3.599999905
0.23,0.13,0.338164251,no,no,no,0,yes,3.599999905
0.73,0.37,0.456273764,no,yes,yes,0,yes,3.200000048
0.38,0.35,0.577235772,no,no,yes,1,no,2
0.382999992,0.360900002,0.608,no,no,yes,1,no,3.099999905
0.32,0.221000004,0.897196262,no,no,no,1,no,10.60000038
0.292999992,0.25,0.852173913,no,no,no,0,no,3.900000095
0.240300007,0.235,0.256410256,no,no,yes,1,no,1.799999952
0.193999996,0.115,0.727777778,no,no,yes,1,no,3.200000048
0.293999996,0.258999996,0.573770492,no,no,yes,1,no,1.799999952
0.382000008,0.268999996,0.608,no,no,yes,1,no,3.200000048
0.379799995,0.279599991,0.608,no,yes,yes,1,no,3.200000048
0.335900002,0.219400005,0.809859155,no,no,no,0,no,3.200000048
0.390299988,0.277199993,0.608,no,no,yes,1,no,3.900000095
0.392799988,0.303799992,0.8,no,no,yes,1,no,3.900000095
0.28,0.28,0.826086957,no,no,no,0,no,3.599999905
0.31,0.26,0.896825397,no,no,no,0,no,3.599999905
0.384099998,0.209099998,0.8,no,yes,yes,1,no,3.599999905
0.334000015,0.286000004,0.889655172,no,no,yes,0,no,3.900000095
0.29,0.26,0.892473118,no,no,yes,1,no,3.900000095
0.330900002,0.300499992,0.745762712,no,no,yes,1,no,1.799999952
0.336899986,0.321399994,0.933333333,no,no,yes,0,no,2
0.342299995,0.313999996,0.861244019,no,no,no,0,no,10.60000038
0.302700005,0.257700005,0.954545455,no,no,yes,0,yes,3.900000095
0.319099998,0.265200005,0.79245283,no,no,no,1,no,3.099999905
0.246299992,0.211000004,0.688073394,no,no,no,1,no,4.300000191
0.286000004,0.252700005,0.753488372,no,yes,no,0,no,10.60000038
0.27,0.27,0.79787234,no,no,yes,0,no,3.200000048
0.282000008,0.251200008,0.9,no,yes,yes,0,no,4.300000191
0.324399986,0.291800003,0.564796905,no,yes,yes,1,no,1.799999952
0.347999992,0.188899994,0.737967914,no,yes,no,0,no,3.900000095
0.296000004,0.296000004,0.479233227,no,no,yes,1,no,1.799999952
0.319799995,0.262700005,0.532258065,no,no,no,0,no,3.200000048
0.400099983,0.278799992,0.407843137,no,yes,yes,0,no,3.200000048
0.276299992,0.254400005,0.748502994,no,no,no,0,no,2
0.352400017,0.289899998,0.748091603,no,no,yes,0,no,3.900000095
0.123800001,0.121800003,0.693069307,no,no,no,0,no,1.799999952
0.34,0.27,1.908333333,no,no,yes,1,no,3.099999905
0.211599998,0.181800003,0.516129032,no,yes,no,0,no,10.60000038
0.282600002,0.275200005,0.471177945,no,no,no,0,no,1.799999952
0.288999996,0.284599991,0.740740741,no,no,no,0,no,3.200000048
0.3,0.25,0.771276596,no,no,no,0,no,10.60000038
0.36,0.28,0.735930736,no,no,no,0,no,3.099999905
0.32,0.27,0.564102564,no,no,no,0,no,3.900000095
0.32,0.32,0.6875,no,no,no,0,yes,3.200000048
0.26,0.2,0.735714286,no,no,no,0,no,3.200000048
0.26,0.21,0.70754717,no,no,no,0,no,3.599999905
0.32,0.26,0.794444444,no,yes,yes,1,yes,1.799999952
0.42,0.33,0.8,yes,no,yes,0,no,3.200000048
0.34,0.33,0.643410853,no,no,yes,1,no,1.799999952
0.37,0.34,0.87755102,no,no,no,0,no,3.099999905
0.29,0.28,0.592592593,no,no,yes,0,no,2
0.35,0.31,0.72,no,no,yes,0,no,1.799999952
0.4,0.27,0.8,no,no,yes,1,no,4.300000191
0.36,0.3,0.926315789,no,no,yes,1,no,3.200000048
0.38,0.27,0.704545455,no,no,no,0,no,3.900000095
0.37,0.26,0.577777778,no,no,no,0,no,2
0.41,0.23,0.705660377,no,no,yes,0,no,1.799999952
0.32,0.31,0.277777778,no,no,yes,1,no,3.200000048
0.33,0.26,0.946236559,no,no,no,0,no,4.300000191
0.33,0.26,0.817647059,no,no,no,0,no,10.60000038
0.29,0.21,0.3125,no,no,yes,0,no,3.200000048
0.37,0.11,0.340909091,no,yes,yes,0,no,3.200000048
0.36,0.2,0.898809524,yes,no,yes,0,no,5.300000191
0.37,0.3,0.764705882,no,no,no,0,no,3.599999905
0.3,0.3,0.529411765,no,no,yes,0,no,5.300000191
0.34,0.34,0.811764706,no,no,no,0,no,3.599999905
0.42,0.26,0.75,no,yes,no,0,no,3.200000048
0.2,0.08,0.111111111,no,no,no,1,no,3.200000048
0.3,0.29,0.533333333,no,no,no,0,no,3.099999905
0.38,0.27,0.934375,no,no,no,0,no,3.200000048
0.34,0.31,0.921212121,no,no,yes,0,no,5.300000191
0.29,0.26,0.667857143,no,yes,no,0,no,4.300000191
0.32,0.29,0.916666667,no,no,no,0,no,3.099999905
0.36,0.3,0.94375,no,no,no,0,no,3.200000048
0.41,0.3,0.652173913,no,no,no,0,no,3.200000048
0.32,0.28,0.474452555,no,no,yes,1,no,1.799999952
0.38,0.31,0.824,no,no,no,0,no,10.60000038
0.2,0.04,0.485074627,no,no,yes,1,no,3.599999905
0.28,0.22,0.923076923,no,no,yes,0,no,3.099999905
0.25,0.25,0.555555556,no,no,no,0,no,3.099999905
0.29,0.28,0.575384615,no,no,no,0,no,3.200000048
0.49,0.37,0.915584416,no,no,yes,0,yes,3.200000048
0.33,0.24,0.889473684,no,no,no,0,no,3.099999905
0.45,0.21,0.801587302,no,no,no,0,no,3.099999905
0.41,0.35,0.922580645,no,no,yes,0,yes,4.300000191
0.35,0.28,0.838709677,no,no,no,0,no,3.099999905
0.35,0.3,0.350877193,no,no,no,0,no,3.900000095
0.08,0.07,0.732984293,no,yes,no,0,no,3.900000095
0.25,0.25,0.503703704,no,no,yes,0,no,4.300000191
0.48,0.15,0.726666667,no,no,no,0,no,4.300000191
0.36,0.01,1.465116279,no,yes,no,1,no,1.799999952
0.32,0.31,0.84057971,no,no,no,0,no,10.60000038
0.27,0.2,0.843881857,no,no,no,0,no,10.60000038
0.34,0.27,0.793103448,no,no,no,0,no,3.200000048
0.33,0.3,0.784671533,yes,no,yes,0,no,3.200000048
0.28,0.33,0.628571429,yes,no,no,0,no,3.200000048
0.34,0.26,0.898876404,no,no,no,0,no,3.200000048
0.37,0.36,0.756164384,no,no,yes,0,no,3.200000048
0.3,0.26,0.734567901,no,no,yes,0,no,3.200000048
0.36,0.33,0.68877551,no,no,no,0,no,1.799999952
0.355099983,0.199799995,0.501432665,no,yes,no,0,no,3.599999905
0.25,0.19,0.731428571,no,yes,yes,0,no,3.200000048
0.14,0.13,0.34965035,no,no,no,0,no,1.799999952
0.44,0.2,0.416666667,no,yes,no,1,no,10.60000038
0.45,0.3,1.148148148,no,no,no,0,no,3.200000048
0.37,0.26,0.802469136,no,yes,no,0,no,10.60000038
0.34,0.3,0.797402597,no,no,no,0,no,4.300000191
0.270400009,0.1675,0.786982249,no,no,no,1,no,3.099999905
0.23,0.23,0.635359116,no,no,no,0,no,5.300000191
0.34,0.29,0.946564885,no,no,yes,0,no,3.200000048
0.33,0.26,0.727891156,no,no,yes,0,no,5.300000191
0.375,0.269699993,0.785714286,no,no,yes,0,no,3.200000048
0.335699997,0.324599991,0.773684211,no,no,no,0,no,2
0.277900009,0.00085,0.628571429,no,no,no,0,no,3.200000048
0.41,0.12,0.488888889,no,no,no,0,no,3.599999905
0.362900009,0.301499996,0.516666667,no,no,no,0,no,3.200000048
0.308799992,0.225599995,0.782352941,no,no,no,0,no,3.099999905
0.365999985,0.282000008,0.718518519,no,no,no,0,no,4.300000191
0.314899998,0.257900009,0.875912409,no,no,yes,0,no,4.300000191
0.275200005,0.203299999,0.80952381,no,no,no,1,no,3.599999905
0.35,0.2,0.503875969,no,no,no,0,no,5.300000191
0.332700005,0.267700005,0.714285714,no,no,yes,0,no,3.599999905
0.32,0.26,0.469483568,no,no,no,0,no,10.60000038
0.264200001,0.258500004,0.783333333,no,no,no,1,yes,3.200000048
0.339700012,0.178199997,0.5,no,no,no,0,yes,10.60000038
0.339700012,0.178199997,0.5,no,no,no,0,yes,10.60000038
0.360600014,0.280200005,0.718518519,no,no,no,0,no,3.599999905
0.376800003,0.202000008,0.884057971,no,yes,no,0,no,1.799999952
0.301000004,0.277999992,0.861538462,no,no,no,0,no,3.200000048
0.54,0.54,0.75,no,no,yes,0,no,3.200000048
0.350999985,0.337000008,0.623493976,no,no,no,0,no,3.099999905
0.389000015,0.271000004,0.919230769,no,no,yes,1,no,3.099999905
0.43,0.32,0.794044665,no,yes,no,0,yes,3.200000048
0.43,0.43,0.798004988,yes,yes,no,0,yes,3.900000095
0.15,0.05,0.658064516,no,no,no,0,no,10.60000038
0.34,0.28,0.895833333,no,no,yes,0,no,4.300000191
0.31,0.21,0.7,no,no,yes,1,no,1.799999952
0.37,0.28,0.911392405,no,no,no,0,no,3.200000048
0.31,0.27,0.883211679,no,no,no,0,no,5.300000191
0.3,0.2,0.894736842,no,no,no,1,no,3.200000048
0.16,0.16,0.203045685,no,no,no,0,no,10.60000038
0.36,0.23,0.843283582,no,no,no,0,no,3.099999905
0.36,0.28,0.734210526,no,no,no,0,no,2
0.4,0.3,0.695364238,no,no,no,0,no,3.900000095
0.37,0.3,0.841584158,no,no,yes,1,no,3.200000048
0.28,0.22,0.473684211,no,yes,no,0,no,3.200000048
0.43,0.35,0.514705882,yes,no,no,0,no,3.200000048
0.36,0.27,0.863387978,yes,no,no,0,no,3.200000048
0.24,0.24,0.631067961,no,yes,no,0,no,4.300000191
0.47,0.47,0.651079137,no,yes,no,0,no,4.300000191
0.08,0.08,0.643835616,no,no,yes,1,no,3.200000048
0.24,0.23,0.566666667,no,no,no,0,no,5.300000191
0.22,0.21,0.653179191,no,no,no,0,no,3.200000048
0.14,0.12,0.32,no,no,no,0,no,3.200000048
0.21,0.16,0.289256198,no,no,no,0,no,3.099999905
0,0.29,0.629496403,no,no,no,0,no,3.099999905
0.210200005,0.207000008,0.783333333,no,no,yes,1,yes,3.099999905
0.394500008,0.332299995,0.147692308,no,no,no,1,no,3.900000095
0.3,0.26,0.625,no,no,yes,0,no,3.200000048
0.36,0.29,0.8,no,no,no,0,no,3.200000048
0.28,0.27,0.551020408,no,no,no,0,no,4.300000191
0.26,0.24,0.796875,no,no,no,0,no,3.900000095
0.28,0.21,0.688888889,no,no,yes,0,no,3.900000095
0.304400005,0.197999992,0.328947368,no,yes,no,0,no,3.200000048
0.313600006,0.287600002,0.306748466,no,no,no,0,no,4.300000191
0.302299995,0.263400002,0.761904762,no,no,no,0,no,3.099999905
0.199500008,0.176200008,0.453333333,no,no,no,1,no,3.200000048
0.274500008,0.172199993,0.714285714,no,no,no,0,no,3.200000048
0.317999992,0.312000008,0.802919708,no,no,yes,0,yes,2
0.45,0.237999992,0.6,no,no,no,0,no,1.799999952
0.356899986,0.180900002,0.7,no,no,no,0,no,3.099999905
0.253999996,0.242999992,0.663507109,no,no,yes,0,no,4.300000191
0.240599995,0.228500004,0.4,no,no,yes,1,no,3.599999905
0.28,0.27,0.338709677,no,no,no,0,no,1.799999952
0.416800003,0.325999985,1.182432432,no,yes,yes,0,yes,3.200000048
0.388600006,0.388600006,0.627272727,no,no,yes,0,yes,10.60000038
0.340800018,0.225400009,0.731428571,no,no,no,0,yes,3.200000048
0.27,0.21,0.831932773,no,no,yes,1,no,2
0.35,0.27,0.884393064,no,no,no,0,yes,3.900000095
0.35,0.29,0.550387597,no,no,no,1,no,2
0.32,0.23,0.8,no,no,yes,1,no,3.099999905
0.32,0.28,0.8,no,no,yes,1,yes,3.200000048
0.37,0.3,0.904,no,no,yes,1,no,3.900000095
0.35,0.26,0.902298851,yes,no,yes,1,no,3.200000048
0.44,0.32,0.904347826,yes,no,yes,1,no,3.200000048
0.4,0.29,0.892561983,yes,no,no,1,no,1.799999952
0.29,0.27,0.714285714,no,no,yes,1,no,1.799999952
0.41,0.27,0.952,yes,no,yes,1,no,3.200000048
0.25,0.22,0.833333333,no,no,no,1,no,10.60000038
0.4,0.23,0.8,no,no,yes,1,no,3.200000048
0.43,0.26,0.910447761,yes,yes,no,1,no,1.799999952
0.41,0.26,0.899441341,yes,no,no,1,no,2
0.49,0.28,0.881889764,no,no,no,1,no,3.200000048
0.41,0.28,0.79389313,no,no,yes,1,no,1.799999952
0.26,0.26,0.637168142,no,yes,no,0,no,3.200000048
0.367000008,0.23,0.8046875,yes,no,yes,1,yes,1.799999952
0.39,0.39,0.215053763,no,no,yes,1,no,3.200000048
0.37,0.3,0.625,no,no,yes,1,no,3.599999905
0.33,0.28,0.02,no,no,yes,1,no,3.900000095
0.28,0.26,0.78125,no,no,no,0,no,3.200000048
0.36,0.31,0.78125,no,no,yes,1,no,4.300000191
0.35,0.32,0.65631068,no,no,no,0,no,10.60000038
0.32,0.25,0.780141844,no,no,no,0,no,4.300000191
0.38,0.23,0.2,no,no,no,1,no,3.200000048
0.35,0.29,0.847222222,no,no,no,0,no,4.300000191
0.36,0.27,0.547263682,no,no,no,0,no,3.200000048
0.25,0.25,0.640410959,no,no,no,0,no,3.099999905
0.47,0.34,0.881889764,no,no,yes,1,no,4.300000191
0.18,0.13,0.785714286,no,no,no,0,yes,2
0.29,0.28,0.738636364,no,no,yes,1,no,3.200000048
0.25,0.24,0.656976744,no,no,no,0,no,3.900000095
0.26,0.2,0.607142857,no,no,no,0,no,5.300000191
0.29,0.23,0.395017794,no,no,no,0,no,3.200000048
0.29,0.22,0.717241379,no,yes,yes,0,no,10.60000038
0.27,0.27,0.740331492,no,no,yes,0,no,3.200000048
0.29,0.24,0.634517766,no,no,yes,0,no,10.60000038
0.21,0.21,0.612903226,yes,no,no,0,yes,10.60000038
0.95,0.44,0.547058824,no,yes,no,0,no,10.60000038
0.25,0.2,0.930232558,no,no,no,0,no,4.300000191
0.22,0.22,0.617449664,no,no,no,0,no,4.300000191
0.37,0.29,0.702290076,no,no,no,0,no,3.200000048
0.4,0.27,0.918518519,no,no,no,0,no,4.300000191
0.29,0.28,0.696969697,no,no,yes,0,no,4.300000191
0.36,0.24,1,no,no,yes,0,yes,3.200000048
0.32,0.21,0.730337079,no,no,yes,0,no,4.300000191
0.38,0.24,0.434782609,no,yes,no,0,no,3.200000048
0.37,0.37,0.653266332,no,yes,no,0,yes,4.300000191
0.4,0.28,0.640167364,no,no,no,0,no,3.099999905
0.24,0.1,0.571428571,no,no,yes,1,no,1.799999952
0.37,0.27,0.401459854,no,yes,no,0,no,3.099999905
0.35,0.18,0.802919708,no,no,yes,0,no,10.60000038
0.41,0.07,0.786885246,no,no,no,1,no,3.599999905
0.41,0.33,0.666666667,no,no,no,0,no,3.099999905
0.32,0.32,0.754098361,no,no,yes,0,no,4.300000191
0.34,0.31,0.904,no,no,no,0,no,3.200000048
0.39,0.3,0.839416058,no,no,yes,0,no,10.60000038
0.238999996,0.217999992,0.162790698,no,no,no,0,no,3.200000048
0.330999985,0.262000008,0.40625,no,yes,no,0,no,8.899999619
0.355,0.330999985,0.555555556,no,no,yes,0,no,3.099999905
0.408899994,0.272900009,0.896,no,no,no,0,no,3.900000095
0.165,0.054000001,0.102564103,no,no,yes,1,no,3.099999905
0.307000008,0.231000004,0.49122807,no,no,no,0,no,3.200000048
0.235,0.226000004,0.679824561,no,no,no,0,no,3.200000048
0.312999992,0.287999992,0.553097345,no,no,no,0,no,3.200000048
0.266000004,0.182999992,0.669354839,no,no,yes,0,no,5.300000191
0.231000004,0.231000004,0.747663551,no,yes,no,0,no,3.099999905
0.303999996,0.202999992,0.578703704,no,no,no,0,no,1.799999952
0.347000008,0.288999996,0.522821577,no,no,no,0,no,1.799999952
0.350999985,0.345999985,0.484764543,no,yes,yes,0,no,3.599999905
0.320999985,0.243999996,0.945205479,yes,no,no,0,no,3.900000095
